dataset,category,balancer,classifier,n_features_selected,balancing_time_sec,accuracy,precision,recall,f1,auc,train_time_sec
ids2018,ml_hybrid,smote_enn,RF,18,312.7164890766144,95.18991570045974,84.93155480866855,95.40645770244228,89.86478977588442,0.9779208092297025,9.763309478759766
ids2018,ml_hybrid,smote_enn,ET,18,312.7164890766144,95.12047186645687,84.6706670387943,95.44971880284737,89.73766430644655,0.973598933699184,8.245802879333496
ids2018,ml_hybrid,smote_enn,LR,18,312.7164890766144,92.33480718348116,77.15613926725399,93.34172336492705,84.48067202961487,0.9545750471813946,1.005786657333374
ids2018,ml_hybrid,smote_enn,XGB,18,312.7164890766144,95.38330359261961,85.65621575766144,95.30420419239391,90.22301649354034,0.982345044722939,1.0447850227355957
ids2018,ml_hybrid,smote_enn,LGBM,18,312.7164890766144,95.74107119311539,86.18240630054144,96.40146301175916,91.00595890029516,0.9863735567761714,1.3051683902740479
ids2018,ml_hybrid,smote_enn,DNN,18,312.7164890766144,95.27166603669096,85.88972431077694,94.34459432886302,89.91884851097326,0.9779866772084519,69.30934190750122
ids2018,dl_based,vae_oversample,DT,28,0.7050764560699463,97.99843531614525,95.62835067801954,95.40645770244228,95.51727532237425,0.970855964517109,12.974753856658936
ids2018,dl_based,vae_oversample,RF,28,0.7050764560699463,98.8018741044822,99.60013191524446,95.02104062610611,97.2567173191104,0.9927345018005144,19.301599979400635
ids2018,dl_based,vae_oversample,ET,28,0.7050764560699463,98.41949349952972,97.64487639633826,95.22554764620286,96.42003822873527,0.9823220106982502,11.873253583908081
ids2018,dl_based,vae_oversample,LR,28,0.7050764560699463,96.646478142773,94.63813615333774,90.10107366185551,92.31389140727309,0.9619755120945285,2.8116185665130615
ids2018,dl_based,vae_oversample,XGB,28,0.7050764560699463,98.81330157083711,99.74381223916367,94.93451842529595,97.27976142500202,0.993879873085872,1.9251041412353516
ids2018,dl_based,vae_oversample,LGBM,28,0.7050764560699463,99.08843979922821,99.86098618039088,96.0553742085185,97.92121880324747,0.9960853744941109,2.2989683151245117
